nombre,domicilio,localidad,cp,longitud,latitud
DAGATTI,AV.S.MARTIN ESQ.J.GARAY 1301,TOSTADO,3060,,
FANTINI,RIVADAVIA 1300,TOSTADO,3060,-61.77180201,-29.23322842
MARTEL,INDEPENDENCIA 1790,TOSTADO,3060,-61.768531,-29.22918097
OLSINA,SAAVEDRA 1290,TOSTADO,3060,-61.7729273,-29.22904673
TANOYRA,SAN LORENZO 1582,TOSTADO,3060,-61.76960503,-29.23179704
TURCO,SAN MARTIN 1374,TOSTADO,3060,-61.77139163,-29.23428169
ANDRES PERIOTTI,SAN MARTÍN 1050,VILLA MINETTI,3061,-61.62328758,-28.62130955
DAGATTI,SARMIENTO 802,VILLA MINETTI,3061,-61.62633851,-28.62355866
PERIOTTI,AV. MINETTI SN,VILLA MINETTI,3061,-61.63268739,-28.62126171
MUTUAL DE INTEGRANTES DEL PODER JUDICIAL -TOSTADO-,12 DE OCTUBRE 1390,TOSTADO,3060,-61.77013173,-29.23429987
IÑIGUEZ,F. PAUCKE Y GRAL. ROCA,POZO BORRADO,3061,,
ALI BOCO,SANTA FE Y SALTA S,GREGORIA PEREZ DE DENIS,3061,,
