nombre,domicilio,localidad,cp,longitud,latitud
PONZIO,TUCUMAN 101,LAS ROSAS,2520,-61.578119,-32.476859
GHERGO,RIVADAVIA 569,TORTUGAS,2512,-61.80582047,-32.73963834
BRUNO,Bv CELMAN 844,TORTUGAS,2512,-61.80582047,-32.73963834
SANTONI,SANTA FE 785,TORTUGAS,2512,-61.80582047,-32.73963834
BRACCANI,SAN MARTIN 1795,ARMSTRONG,2508,-61.602538,-32.781249
GRIFFA,P. FERRERO 1564,ARMSTRONG,2508,-61.602538,-32.781249
RUGGERI,MENDOZA 641,MONTES DE OCA,2521,-61.76702535,-32.56716863
GRASSO,SAN MARTIN 718,MONTES DE OCA,2521,-61.76864376,-32.56779678
LORANDINI,SARMIENTO  324,MONTES DE OCA,2521,-61.77198935,-32.56575868
BIAGETTI,14 DE DICIEMBRE 1802,ARMSTRONG,2508,-61.60520288,-32.78135573
SANTINELLI,14 DE DICIEMBRE 1315,ARMSTRONG,2508,-61.59858514,-32.78253724
PAGURA,BV ROLDAN 1677,ARMSTRONG,2508,-61.60384508,-32.7828889
FRANCISCONI,BV. FLOTRON 1745,ARMSTRONG,2508,,
BALSAMO,BV.ROLDAN 1501,ARMSTRONG,2508,-61.60142079,-32.78331394
RUBICINI,DELFOR CABRERA 1487,ARMSTRONG,2508,-61.60258043,-32.78880373
GRIFFA,FRENCH 1564,ARMSTRONG,2508,,
TERRANEO,SAN MARTIN 1453,ARMSTRONG,2508,-61.60109036,-32.78469631
ROSSO,9 DE JULIO 29,BOUQUET,2523,-61.8896158,-32.42221548
PIRES,RIVADAVIA 197,BOUQUET,2523,-61.88882644,-32.424072
LONGO,AVDA. 13 739,LAS PAREJAS,2505,,
ASTEGIANO,AVDA. 18 798,LAS PAREJAS,2505,,
REINALDI,AVDA. 18 756,LAS PAREJAS,2505,,
BIAMONTE,AVDA. 21 686,LAS PAREJAS,2505,,
MUT. SPORTIVO AT. CLUB,AVDA. 24 940,LAS PAREJAS,2505,,
U.O.M.,CALLE 11 1097,LAS PAREJAS,2505,-61.51502613,-32.68362577
PROPERSI,CALLE 12 971,LAS PAREJAS,2505,-61.5237241,-32.68197475
BAIGORRI,CALLE 20 1066,LAS PAREJAS,2505,-61.51882303,-32.67902029
ELOY BAIGORRI,CALLE 8 1102,LAS PAREJAS,2505,-61.52797618,-32.68193359
AIRA,BELGRANO 846,LAS ROSAS,2520,-61.5735523,-32.47679935
BALANSINO,ITALIA 895,LAS ROSAS,2520,-61.58429582,-32.47533962
PIRES,ITALIA 501,LAS ROSAS,2520,-61.57903317,-32.47634205
SANTA ROSA,ITALIA 149,LAS ROSAS,2520,-61.57435723,-32.47720334
TOIA ALEMAN,LAVALLE 310,LAS ROSAS,2520,-61.57678726,-32.47793565
GALLUCCI,PASO DE LOS ANDES 702,LAS ROSAS,2520,-61.58064015,-32.47719372
SAMCO,PASO DE LOS ANDES 419,LAS ROSAS,2520,-61.58146768,-32.48035836
BRUNO,RIVADAVIA 601,LAS ROSAS,2520,-61.57947971,-32.47268085
RUFFINI,RIVADAVIA  244,LAS ROSAS,2520,-61.57474094,-32.47358783
PONS,SAN LORENZO 975,LAS ROSAS,2520,-61.57716907,-32.47460517
FABRICHINI,URUGUAY 346,LAS ROSAS,2520,-61.56959639,-32.47347278
