nombre,domicilio,localidad,cp,longitud,latitud
DEL VALLE,ALEM 1376,AREQUITO,2183,-61.468427,-33.144954
PRETONARI,SAN MARTIN 1911,CHABAS,2173,-61.80582047,-32.73963834
ZAMPATTI,RIVADAVIA 1019,SAN JOSE DE LA ESQUINA,2185,-61.702495,-33.113183
DE LA PLAZA,MITRE 1679,CHABAS,2173,-61.356511,-33.245507
RIVADAVIA,RIVADAVIA 2125,CASILDA,2170,-61.159948,-33.040633
PIETRODARCHI,GARIBALDI 2352,CASILDA,2170,-61.178809,-33.048296
PIOLETTI,LISANDRO DE LA TORRE 2601,CASILDA,2170,-61.171192,-33.048583
GALLI,9 DE JULIO 1361,AREQUITO,2183,-61.468256,-33.145061
SINDICAL UOM,CORDOBA 1202,AREQUITO,2183,-61.468256,-33.144918
MARINCIONI,MITRE 601,LOS QUIRQUINCHOS,2637,-61.71465105,-33.37921097
BARTOLOME,RIVADAVIA 515,LOS QUIRQUINCHOS,2637,-61.71137486,-33.37813374
PRIOTTI,SAN MARTIN 501,LOS QUIRQUINCHOS,2637,-61.71252183,-33.37760919
GIANINETTO DE BRINGA,25 DE MAYO                          111,SAN JOSE DE LA ESQUINA,2185,-61.70179308,-33.10868934
CIRIACI,MITRE                               776,SAN JOSE DE LA ESQUINA,2185,-61.70646618,-33.11425873
LOSADA,MORENO                              1073,SAN JOSE DE LA ESQUINA,2185,-61.70511,-33.11376294
PALAZZESI,RIVADAVIA                           550,SAN JOSE DE LA ESQUINA,2185,-61.70396329,-33.11250369
ZAMPATTI,RIVADAVIA                           1019,SAN JOSE DE LA ESQUINA,2185,-61.70508677,-33.11696725
LINPOZZI,SAN MARTIN 499,SAN JOSE DE LA ESQUINA,2185,-61.70165325,-33.11240639
VICTORIA,SAN MARTIN Y MORENO                 0,SAN JOSE DE LA ESQUINA,2185,,
BUCCELLA,AV. 9 DE JULIO 1533,AREQUITO,2183,-61.47140869,-33.14188976
BACHMAN,B. LOPEZ 1686,AREQUITO,2183,,
LIBARDI,B. LOPEZ 1367,AREQUITO,2183,,
PEDRIDO,B. LOPEZ 1568,AREQUITO,2183,,
U.O.M.,CORDOBA 1202,AREQUITO,2183,-61.4757447,-33.14815063
GRIVARELLO,DR. J. MANINO 1643,AREQUITO,2183,,
PEROTTI,INDEPENDENCIA 613,ARTEAGA,2187,-61.79416967,-33.09125165
FERRETTI,ROGELIO NARDI 598,ARTEAGA,2187,-61.79121301,-33.08500798
ARTEAGA,SAN MARTIN 405,ARTEAGA,2187,-61.79256525,-33.09267144
DEL PUEBLO,SAN MARTIN 80,ARTEAGA,2187,-61.7911989,-33.08915593
FERRONI,SAN MARTIN 145,ARTEAGA,2187,-61.79139673,-33.08986632
ROGELIO TERRE,MARIANO MORENO 199,BERAVEBU,2826,,
FRAPPA,R. TORRE 524,BERAVEBU,2826,,
BERAVEBU,ROGELIO TERRE 747,BERAVEBU,2826,-61.86348207,-33.34022902
MUTUAL C .M. DEPORT. BERAVEBU,S. DE IRIONDO 538,BERAVEBU,2826,,
PAOLUCCI,AV. SAN MARTIN 1199,BIGAND,2177,-61.1813157,-33.37537211
ERCEG,CORDOBA 1422,BIGAND,2177,-61.18603477,-33.37405528
ITURBE,R DE ESCALADA 1444,BIGAND,2177,,
BATISTA,RIVADAVIA 1498,BIGAND,2177,-61.18616776,-33.37541148
CLAPIZ,SARMIENTO 321,BIGAND,2177,-61.18453467,-33.37553945
HOSPITAL SAN CARLOS,9 DE JULIO 2351,CASILDA,2170,-61.15744866,-33.03641695
AUGUSTO,BUENOS AIRES 1830,CASILDA,2170,-61.16314536,-33.04268047
CARDOZO,BUENOS AIRES 2768,CASILDA,2170,-61.17296293,-33.0480994
LA ROSA,BUENOS AIRES 2184,CASILDA,2170,-61.16695802,-33.04478459
MARONI,BUENOS AIRES 3335,CASILDA,2170,-61.17885026,-33.05130462
BLANCO,BUENOS AIRES  2430,CASILDA,2170,-61.16947074,-33.04618014
MILAN,BV. VILLADA 2041,CASILDA,2170,-61.16957921,-33.03871315
VILLADA,BV. VILLADA 2334,CASILDA,2170,-61.1725662,-33.04034464
FARMACIA BALEANI,DANTE ALIGHIERI 2202,CASILDA,2170,-61.16580583,-33.04664518
GAIDO,DANTE ALIGHIERI 1701,CASILDA,2170,-61.16042549,-33.04376076
CAMPANINI,ECHEVERRIA  2564,CASILDA,2170,-61.1779857,-33.03772468
FUEYO,ESPAÑA 2199,CASILDA,2170,-61.16882361,-33.04454172
CASILDA,FRAY LUIS BELTRAN 2401,CASILDA,2170,-61.17054836,-33.04425194
PRESSIANI,H. YRIGOYEN 2594,CASILDA,2170,,
TOSCANELLI,H. YRIGOYEN 1102,CASILDA,2170,,
BIANUCCI,HIPOLITO YRIGOYEN 1701,CASILDA,2170,-61.1625098,-33.04107236
MARSILI,L. DE LA TORRE 1305,CASILDA,2170,,
PIOLETTI,L. DE LA TORRE 2601,CASILDA,2170,,
ASOC. MUT. EMPLEADOS COMERCIO S.F.,LISANDRO DE LA TORRE 2241,CASILDA,2170,-61.16689535,-33.04593006
ASOC. MUT C. A. DEF. BANFIELD,MITRE 1833,CASILDA,2170,-61.16731208,-33.04839671
OLMOS,MITRE 2599,CASILDA,2170,-61.17253738,-33.04164882
U.O.M.,MORENO 2447,CASILDA,2170,-61.1735807,-33.04409511
ASOC. MUT AYUDA  ASOC. C .A .UNION CSSCASILDENSE,OVIDIO LAGOS 2744,CASILDA,2170,,
GONZALEZ,OVIDIO LAGOS 1848,CASILDA,2170,,
PIERABELLA A.,OVIDIO LAGOS 1101,CASILDA,2170,,
REVELANT,OVIDIO LAGOS 2290,CASILDA,2170,,
MARTINEZ,SAN MARTIN 1744,CASILDA,2170,-61.16773515,-33.04974464
MUTUAL CAMIONEROS,SARMIENTO  2237,CASILDA,2170,-61.16701841,-33.04308571
PACINI,BALCARCE 1744,CHABAS,2173,-61.36132796,-33.24192733
