nombre,domicilio,localidad,cp,longitud,latitud
SAMCO HUMBERTO I,SAN MARTIN 844,HUMBERTO PRIMO,2309,-61.35861625,-30.86607544
CAGLIERO,ESTANISLAO ZEBALLOS 570,SUNCHALES,2322,-61.55939049,-30.94666218
FENOGLIO,CRESPO 195,SUNCHALES,2322,-61.55596586,-30.94588189
GARIONE,9 DE JULIO 23,SUNCHALES,2322,-61.55867807,-30.94430343
GHIONE,SAN MARTIN 45,SUNCHALES,2322,-60.707038,-31.647399
MOLINA,ILLIA 596,SUNCHALES,2322,-61.55271184,-30.94924355
PUSSETTO,AVDA. BELGRANO 402,SUNCHALES,2322,,
ROSSO,ITALIA 574,SUNCHALES,2322,-61.56123386,-30.93937745
VANDERBERGHE,ILLIA 596,SUNCHALES,2322,-61.55271184,-30.94924355
CARANGI,SARMIENTO 135,SUSANA,2301,-61.51396244,-31.35515414
MARCONETTI,DR.ROMERO ACUÑA 114,VILA,2301,,
NOVARETTO,BELGRANO OESTE N 57,VILA,2301,-61.83390774,-31.19145655
GAIOTTI,HIPOLITO IRIGOYEN 637,ZENON PEREYRA,2409,-61.89598371,-31.56120759
GAMBA,SAN MARTIN 998,ZENON PEREYRA,2409,-61.90105217,-31.56338695
MUTUAL REGIONAL -CENTRO CULTURAL Y DEPORTIVO RAMONA,ESTANISLAO LÓPEZ 138,RAMONA,2301,,
FARMACIA SINDICAL A.T.I.L.R.A.,Maipú 101,RAFAELA,2300,-61.49234,-31.25066
CENTRO EMPLEADOS DE COMERCIO -RAFAELA-,GUEMES 176,RAFAELA,2300,-61.48701,-31.25175
MUTUAL BANCARIA,LEANDRO N. ALEM 339,RAFAELA,2300,-61.48682118,-31.24882487
FARMACIA ASOCIACION MUTUAL DE AYUDA ENTRE ASOCIADOS Y ADHERENTES DEL CLUB SPORTIVO BEN HUR,SARGENTO CABRAL 398,RAFAELA,2300,-61.48962,-31.25676
SINDICAL DEL SINDICATO DE MECÁNICOS Y AFINES DEL TRANSPORTE AUTOMOTOR (S.M.A.T.A.),LAMADRID 207,RAFAELA,2300,-61.49576596,-31.24992289
SINDICAL DE LA UNIÓN OBRERA METALÚRGICA (U.O.M.),ARENALES 352,RAFAELA,2300,-61.49304767,-31.24910743
ASOCIACIÓN MUTUAL DE AYUDA ENTRE ASOCIADOS Y ADHERENTES DEL CLUB SPORTIVO SANTA CLARA,MORENO Y STA. CLARA DE ASIS,SANTA CLARA DE SAGUIER,2315,-61.81707814,-31.33679924
OBRA SOCIAL A.T.I.L.R.A.,25 DE MAYO 69,SUNCHALES,2322,-61.56561444,-30.94508965
FARMACIA COSTAMAGNA,MORENO 103,HUMBERTO PRIMO,2309,-61.34621132,-30.86712929
FARMACIA WELSCHEN,BUENOS AIRES 103,HUMBERTO PRIMO,2309,-58.36723576,-34.62017672
FARMACIA LEONARDINI,MARAGNANI 65,LEHMANN,2305,-61.45103943,-31.12459013
FARMACIA SAPINO,AV RIVADAVIA 137,LEHMANN,2305,-61.45092263,-31.12510954
FARMACIA CASTELLANO,9 DE JULIO 266,MARIA JUANA,2445,-61.75211403,-31.67767564
FARMACIA CORNALIS,CORDOBA 414,MARIA JUANA,2445,-61.75910143,-31.6748355
FARMACIA DALMASSO,DR. A. GIRALDEZ 444,MARIA JUANA,2445,-61.75027916,-31.6760384
FARMACIA PAGLIERO,MITRE Y SARMIENTO,MARIA JUANA,2445,-61.75321693,-31.67563417
FARMACIA SALAROGLIO,BRIGADIER LOPEZ S/N,ESMERALDA,2456,-61.93273887,-31.61862205
FARMACIA AIRASCA,AV. IRIGOYEN 1180,SUNCHALES,2322,-61.55355334,-30.94350507
ANDRES ROBLEDO,L. ALEM 407,SUNCHALES,2322,-61.5609476,-30.9479091
ASTESANA,J.B.V. MITRI 346,SUNCHALES,2322,,
FARMACIA FRANK,LAS HERAS 268,EUSEBIA Y CAROLINA,2317,-61.85618634,-30.94610379
FARMACIA SERRA,FALUCHO 1325,RAFAELA,2300,-61.50766209,-31.25496527
FARMACIA SIMONCINI,AV.ARISTOBULO DEL VALLE 132,RAFAELA,2300,-61.49168478,-31.25723956
FARMACIA SUDANO,COLON 54,RAFAELA,2300,-61.4930673,-31.25282501
FARMACIA TIBALDI,E. SALVA 317,RAFAELA,2300,-61.49287966,-31.24263785
FARMACIA TURINO,ESPAÑA 1135,RAFAELA,2300,-61.47452345,-31.2454041
FARMACIA WALTER,SARMIENTO 110,RAFAELA,2300,-61.49004385,-31.25086235
