nombre,domicilio,localidad,cp,longitud,latitud
VAROLI,MORENO 1363,VILLA CONSTITUCION,2919,-60.330373,-33.23018
SAN PEDRO,RIVADAVIA 1754,VILLA CONSTITUCION,2919,-60.325052,-33.23106
RIVADAVIA,RIVADAVIA 1400,VILLA CONSTITUCION,2919,-60.327519,-33.228708
JAUREGUI,CHACABUCO 242,MAXIMO PAZ,2115,-60.95277086,-33.48301772
SVETATZ,FALUCHO 853,MAXIMO PAZ,2115,-60.95837518,-33.48375072
LINGIARDI STELLA M.,ITUZAINGO 501,MAXIMO PAZ,2115,-60.95713161,-33.48269562
ROSELLO,MAIPU 1007,MAXIMO PAZ,2115,-60.95470241,-33.48497276
LEONE,CORRIENTES 326,PAVON,2918,-60.40437669,-33.241775
PACIARONI,BUENOS AIRES 1081,PAVON ARRIBA,2109,-60.82451903,-33.3101877
CARINO,CENTENARIO 824,PEYRANO,2113,-60.80141574,-33.53920027
FERRETTI,CENTENARIO 701,PEYRANO,2113,-60.80248034,-33.54018275
MARTINEZ,DR. PEDRO RUEDA 738,RUEDA,2921,,
LINGIARDI FABIANA,25 DE MAYO 567,ALCORTA,2117,-61.12472601,-33.54175294
NARDONI,ALVEAR  213,ALCORTA,2117,-61.12404622,-33.5448732
ROCCHI,AV. MITRE 109,ALCORTA,2117,,
ALESSO,BELGRANO 394,ALCORTA,2117,-61.12615532,-33.53847764
FERNANDEZ,ESPAÑA 798,ALCORTA,2117,-61.12241112,-33.53951712
SACCANI,ITALIA 901,ALCORTA,2117,-61.12171026,-33.5379359
DE BONIS,RECONQUISTA  846,ALCORTA,2117,-61.12361274,-33.53611499
BENEDETTI,RIVADAVIA 203,ALCORTA,2117,-61.12624913,-33.5410432
BIONDI,ALTAMIRANO 521,BOMBAL,2179,-61.319553,-33.4586295
JUAN,AV. SAN MARTIN 238,BOMBAL,2179,-61.31943555,-33.45635889
FARMACIA STAMPELLA,AV. SAN MARTIN 148,BOMBAL,2179,-61.32013691,-33.45548808
FARMACIA TREGGIA,AV. SAN MARTIN 334,BOMBAL,2179,-61.31868286,-33.45733062
FOGLIA,TTE. GENERAL LONARDI 440,CAÑADA RICA,2105,,
MARTINEZ,BUENOS AIRES 128,EMPALME VILLA CONSTITUCION,2918,-60.38232892,-33.25871543
ROSSI,CORRIENTES 53,EMPALME VILLA CONSTITUCION,2918,-60.37951738,-33.25821595
YACOMOZZI,SAAVEDRA 370,EMPALME VILLA CONSTITUCION,2918,-60.38527655,-33.26445611
ASOC. MUTUAL EMP CENTRAL,SAN MARTIN 301,EMPALME VILLA CONSTITUCION,2918,-60.38066128,-33.25856464
EL CONDOR,SAN MARTIN 199,EMPALME VILLA CONSTITUCION,2918,-60.38136178,-33.25923872
ARLOTTI,ALBERDI 878,FIRMAT,2630,-61.48240477,-33.45569665
TOPA,AMRTE. BROWN 1603,FIRMAT,2630,,
ORSO,Avenida Santa Fe 1299,FIRMAT,2630,-61.48828447,-33.45861381
GIULIANI,AV. RIVADAVIA                       1289,FIRMAT,2630,,
AGOSTINELLI,AVDA. SANTA FE                      1602,FIRMAT,2630,,
AMERISE,AVDA. SANTA FE                      1271,FIRMAT,2630,,
ROSSI,BV. SOLIS                           1411,FIRMAT,2630,-61.48392761,-33.45413196
BUCCI,CARLOS CASADO 1315,FIRMAT,2630,-61.49120967,-33.45476406
SELLART,CARLOS CASADO 846,FIRMAT,2630,-61.49162619,-33.45993802
ORO,CORDOBA                             602,FIRMAT,2630,-61.48852391,-33.46297897
SEGURADO,LIBERTAD 1027,FIRMAT,2630,-61.48468158,-33.46185682
TRUCCO,LIBERTAD 1860,FIRMAT,2630,,
CAMILLOZZI,SANTA FE  891,FIRMAT,2630,-61.48282557,-33.45881896
HOSP. SAMCO (GRAL SAN MARTIN,SANTA FE  1860,FIRMAT,2630,-61.49474707,-33.45815374
REALI,SANTA FE                            1199,FIRMAT,2630,-61.48692766,-33.45858115
IANNI,SARMIENTO                           1232,FIRMAT,2630,-61.48742445,-33.45961365
SANTILLI,SARMIENTO                            1465,FIRMAT,2630,-61.49006061,-33.45946167
DEL PUERTO,CRISTOBAL GILL 257,GENERAL GELLY,2701,,
DI SANTE,SAN MARTIN 720,GODOY,2921,-60.50720204,-33.36899826
PALOSSI,SAN MARTIN 182,JUAN B. MOLINA,2103,-60.512737,-33.49529714
GARROFE,SARMIENTO 546,JUAN B. MOLINA,2103,-60.51422022,-33.49390093
SHERIDAN,BELGRANO 379,JUNCAL,2723,-61.04957761,-33.71755264
FARMACIA SINDICAL UNION OBRERA METALURGICA VILLA CONSTITUCION,Perrisol 601,VILLA CONSTITUCION,2919,-60.3124094,-33.24545219
GARAVAGLIA,SAN MARTIN 1360,VILLA CONSTITUCION,2919,-60.328793,-33.22905531
