nombre,domicilio,localidad,cp,longitud,latitud
ARMINCHIARDI,GRAL LOPEZ Y MITRE,SANTA ISABEL,2505,-61.693819,-33.887981
PATALANO,SARMIENTO 498,CARRERAS,2729,-61.309648,-33.598535
LABORET,GARIBALDI 801,CARRERAS,2729,-61.309648,-33.598535
CARELLI DE COLOMBO,QUINTANA 360,AMENABAR,6103,-61.699952,-33.88326
MOREIRA,SAN MARTIN 1220,SAN GREGORIO,2613,-62.037399,-34.324087
SAN GREGORIO,SAN MARTIN 964,SAN GREGORIO,2613,-62.037399,-34.324087
CASALINO,SAN MARTIN 598,SAN GREGORIO,2613,-62.037613,-34.323768
KARKOVICH,PADRE BADIA 478,MAGGIOLO,2622,-62.24582994,-33.72174068
VARELA,AV.ALVEAR 753,MARIA TERESA,2609,,
GOYECHEA,SAN MARTIN 356,MARIA TERESA,2609,-61.90965942,-34.00857644
DEL VALLE,URQUIZA 257,MARIA TERESA,2609,-61.91490179,-34.01195676
FERLONI,MORERO 205,MELINCUE,2728,-61.45737456,-33.65802402
DI MELLA,SAN MARTIN 247,MELINCUE,2728,-61.45537681,-33.65800801
DICIANO,AVDA. GUEMES 411,MURPHY,2601,,
BARACCO,FELIX BARACCO 444,MURPHY,2601,-61.86010132,-33.64327628
CASTELLI,GUEMES 166,MURPHY,2601,-61.85455055,-33.6440786
DESABATO,SAAVEDRA 224,MURPHY,2601,-61.85687609,-33.64480307
KURTH,SAN MARTIN 411,MURPHY,2601,-61.85873163,-33.64295436
MIGUEL,IRIGOYEN 576,RUFINO,6100,-62.71147775,-34.26761608
HOSP.PROV.SAMCO,ALEM VIEYRA 1261,RUFINO,6100,,
GUARAGNA,ANGEL MEUNIER 90,RUFINO,6100,,
BELEN,AV. COBO 698,RUFINO,6100,,
CENTRAL,AVDA. COBO 120,RUFINO,6100,,
LUHACES,DR. E. CARBALLERA 289,RUFINO,6100,,
SANTA FE,EVA PERON 120,RUFINO,6100,-62.71338769,-34.264159
BENGUA,MANUEL ROCA 340,RUFINO,6100,-62.71579857,-34.2641337
SIOLA,MANUEL ROCA 36,RUFINO,6100,-62.71487917,-34.26095585
BOLLERO,PRESIDENTE PERON 31,RUFINO,6100,,
A.D.O.S.,PRIMITIVO GALAN 100,RUFINO,6100,-62.71032054,-34.26365102
MANCIOLA,PTE. J. D. PERON 250,RUFINO,6100,,
SANTO,PTE. PERON 597,RUFINO,6100,,
CASALI,SAN JUAN 115,RUFINO,6100,-62.71075369,-34.26579318
TORRI,A. P. CABANIUS 418,SAN GREGORIO,2613,,
AMADIO,MARIANO MORENO 70,SANCTI SPIRITU,2617,-62.2415961,-34.0106042
BEJARANO,RIVADAVIA 303,SANCTI SPIRITU,2617,-62.24289034,-34.00810243
BERASI,JUAN GODEKEN  851,CAFFERATA,2643,,
ASOC. MUT .JUVENTUD UNIDA,SAN MARTIN 998,CAFFERATA,2643,-62.08307329,-33.44058112
UGOLINI,SAN MARTIN 670,CAÑADA DEL UCLE,2635,-61.60923962,-33.40771529
TRUCCO,MITRE 335,CARMEN,2618,-61.75856055,-33.73365443
KURTH,RIVADAVIA  354,CARMEN,2618,-61.75920497,-33.73075058
PALACIOS,OLMOS 453,CARRERAS,2729,-61.31081206,-33.60062558
BOCA,SARMIENTO 498,CARRERAS,2729,-61.30699641,-33.59765168
ASOC .MUT. DE SOCIOS C.A.S.M.,ESPAÑA 167,CHOVET,2633,-61.60543976,-33.6002891
BOVERIS,MALVINAS 162,CHOVET,2633,-61.60240705,-33.59746401
GAMULIN,SAN MARTIN 455,CHOVET,2633,-61.60830667,-33.6006093
SAN AGUSTIN,SARMIENTO 631,CHOVET,2633,-61.60544664,-33.59952751
DUHALDE,AV CRISTOPHERSEN 267,DIEGO DE ALVEAR,6036,,
ALDAZ,25 DE MAYO  715,ELORTONDO,2732,-61.61459609,-33.70104015
REQUEJO,9 DE JULIO 763,ELORTONDO,2732,-61.61709667,-33.70228896
GALIMBERTI,BELGRANO 1418,ELORTONDO,2732,-61.62165104,-33.70257938
REYNOSO,LIBERTAD 559,ELORTONDO,2732,-61.60993599,-33.69780629
BOVERIS,SAN MARTIN 1001,ELORTONDO,2732,-61.61648934,-33.69994481
GUARESCHI,SAN MARTIN 1167,ELORTONDO,2732,-61.61873981,-33.70050228
NOE,RIVADAVIA 351,HUGHES,2725,-61.33583321,-33.80233425
LAFUENTE,SIMON DE IRIONDO 798,HUGHES,2725,-61.33496948,-33.80031682
ROMANO,SIMON DE IRIONDO 599,HUGHES,2725,-61.33770462,-33.80087314
FEIJOO,SAN MARTIN 433,LABORDEBOY,2726,-61.31290546,-33.71793872
FARMACIA MUTUAL SINDICATO DE CAMIONEROS VENADO TUERTO,Maipu 627,VENADO TUERTO,2600,-61.9645661,-33.7456467
FARMACIA MUTUAL AMUR,Mitre 753,VENADO TUERTO,2600,-61.96372479,-33.74889884
MUTUAL DE LUZ Y FUERZA,AVENIDA ESTRUGAMOU 1985,VENADO TUERTO,2600,-61.9757612,-33.73624707
DEL INDIO,Juan B. Justo 1,VENADO TUERTO,2600,-61.96029961,-33.75167428
DEL CUETO,LAVALLE 701,VENADO TUERTO,2600,-61.96949154,-33.74827103
ALBIZU,SAN MARTIN 303,VENADO TUERTO,2600,-61.96255267,-33.7493315
DEMAESTRI,3 DE FEBRERO 263,VENADO TUERTO,2600,-61.96371675,-33.75681904
TOSI,CALLE 55 305,VILLA CAÑAS,2607,-61.60502493,-34.00645246
