nombre,domicilio,localidad,cp,longitud,latitud
CABALLERO,ZONA URBANA,TACUARENDI,3587,,
LEANDRO PEZZ,ROSARIO,VILLA GUILLERMINA,3589,-59.45103743,-28.24564144
FERRER,PADRE ANGEL TIBALDO 1300,VILLA OCAMPO,3580,-59.35421989,-28.48953558
FIANT,BV.SARMIENTO 1101,VILLA OCAMPO,3580,-59.35833701,-28.49183782
FONTANA,AV. SAN MARTIN 1582,VILLA OCAMPO,3580,-59.35524671,-28.48849381
GALIBERT GARRO,CASEROS 1598,VILLA OCAMPO,3580,-59.35542194,-28.49172027
MARIELA BENITEZ,9 DE JULIO 1473,VILLA OCAMPO,3580,-59.35298493,-28.48751962
PASTEUR,MORENO 1268,VILLA OCAMPO,3580,-59.35668513,-28.49004876
VICENTIN,JUAN BAUTISTA  ALBERDI 2055,VILLA OCAMPO,3580,,
MUTUAL ASOSIACIÓN MUTUAL DE SERVICIOS PARA INTERNACIONES Y OPERACIONES (A.S.I.O),CALLE 12 351,AVELLANEDA,3561,-59.65838328,-29.11587191
MUTUAL DE INTEGRANTES DEL PODER JUDICIAL -LAS TOSCAS-,CALLE 4 ENTRE 23 Y 25,LAS TOSCAS,3586,-59.26250893,-28.35165073
MUTUAL DE EMPLEADOS BANCARIOS DE SANTA FE,PATRICIO DIEZ 1025,RECONQUISTA,3567,-59.6488901,-29.14389694
MUTUAL DE INTEGRANTES DEL PODER JUDICIAL,IRIONDO 741,RECONQUISTA,3567,-59.64586794,-29.14751632
PYSZNIAK,CALLE 17 376,LAS TOSCAS,3586,-59.25909333,-28.35543059
RINESI,CALLE 10 Y 15,LAS TOSCAS,3586,-59.25881601,-28.35653235
SANDRIGO,SAN MARTIN S,LANTERI,3575,,
NADALICH,VICENTE CASARES Y GRAL LOPEZ,LAS GARZAS,3574,,
CURTI,CALLE 21 193,LAS TOSCAS,3586,-59.26133937,-28.3532622
SNAIDER,CALLE 21 50,LAS TOSCAS,3586,-59.2631324,-28.35327825
PETTINA,SARMIENTO 1701,MALABRIGO,3572,-59.96890504,-29.34616803
CENTIS,SILVESTRE BEGNIS 982,MALABRIGO,3572,-59.96915144,-29.35364825
GARCIA,SAN MARTIN 1435,MALABRIGO,3572,-59.96827481,-29.34917217
PREZ,AVDA.SIGEL 604,MALABRIGO,3572,,
SALPIETRO,SPONTON 998,MALABRIGO,3572,-59.97100154,-29.35025735
