nombre,domicilio,localidad,cp,longitud,latitud
CERINO,AV. SAN MARTIN 1222,TOTORAS,2144,-61.167799,-32.585797
SANCHEZ,CENTENARIO 505,CAÑADA DE GOMEZ,2500,-61.388344,-32.815393
URQUIZA,SAN MARTIN 212,CAÑADA DE GOMEZ,2500,-61.397806,-32.818441
HISPANO ARGENTINA,OCAMPO 698,CAÑADA DE GOMEZ,2500,-61.391586,-32.819694
GALFRE,BALCARCE 801,CAÑADA DE GOMEZ,2500,-61.393754,-32.821912
MARCELO GARCIA,LAVALLE 1301,CAÑADA DE GOMEZ,2500,-61.40066,-32.819397
ASOCIACION MUTUAL FERROVIARIA,LAVALLE 472,CAÑADA DE GOMEZ,2500,-61.38888,-32.821452
SALVUCCI,9 DE JULIO 1253,TOTORAS,2144,-61.167799,-32.5857972
EL SOL,LAVALLE 939,CAÑADA DE GOMEZ,2500,-61.395746,-32.820244
YOCCO,SAN MARTIN 901,CAÑADA DE GOMEZ,2500,-61.396025,-32.81139
AMERICA,EDISON 73,CAÑADA DE GOMEZ,2500,-61.396648,-32.822913
MUTUAL DE AYUDA ENTRE ASOCIADOS DE LA ASOCIACION DEPORTIVA EVERTON OLIMPIA (ADEO),LAVALLE 1304,CAÑADA DE GOMEZ,2500,-61.400961,-32.81936
COLONIA PSIQUIATRICO OLIVERO  DR ABELARDO FREYRE,Ruta 11 km. 356.5,OLIVEROS,2206,-60.849974,-32.574736
SIMONE,OCAMPO 1501,CAÑADA DE GOMEZ,2500,-61.403514,-32.817665
MUTUAL,LAS HERAS 1164,TOTORAS,2144,-61.16802,-32.585874
NOVA FARM,SAN MARTIN 387,LUCIO V. LOPEZ,2142,-61.02348586,-32.71267377
RASPO,BUENOS AIRES 376,OLIVEROS,2206,-60.85086338,-32.57476108
SANTA ROSA,Buenos Aires 251,OLIVEROS,2206,-60.85131347,-32.57289085
CHINELLATO,SANTA FE  349,OLIVEROS,2206,-60.85190748,-32.57470717
STELLA CICCONI,EL PLATA 333,SALTO GRANDE,2142,-61.08680863,-32.66915018
MILANESE,PORTEÑA 130,SALTO GRANDE,2142,,
LUPO,25 DE MAYO 770,PUEBLO ANDINO,2214,-60.87701686,-32.67093604
GIUDICE,LISANDRO DE LA TORRE 672,PUEBLO ANDINO,2214,-60.87790316,-32.66603648
TABORDA,SAN MARTIN 862,BUSTINZA,2501,-61.29190223,-32.73994052
BARBIERO,AVELLANEDA  498,CAÑADA DE GOMEZ,2500,-61.38652445,-32.80982399
MEZZANO,BV. CENTENARIO 802,CAÑADA DE GOMEZ,2500,-61.39205763,-32.81477818
RACCA,BV. CENTENARIO 1474,CAÑADA DE GOMEZ,2500,-61.40178757,-32.81302827
GIRI,INDEPENDENCIA 506,CAÑADA DE GOMEZ,2500,-61.40654005,-32.81332288
TAULAMET,LAPRIDA 802,CAÑADA DE GOMEZ,2500,-61.4016815,-32.81121307
ADEO,LAVALLE 1304,CAÑADA DE GOMEZ,2500,-61.40090114,-32.81929731
ASOC. MUT. FERROVIARIA,LAVALLE 472,CAÑADA DE GOMEZ,2500,-61.38893616,-32.82136144
GRAVIER,LAVALLE 1102,CAÑADA DE GOMEZ,2500,-61.39812671,-32.81977926
SIMARA (AMAS),LAVALLE 1044 loc. 8 y 9,CAÑADA DE GOMEZ,2500,,
GARCIA,MARCONI 396,CAÑADA DE GOMEZ,2500,-61.38167649,-32.81887889
TORRE,Moreno 356,CAÑADA DE GOMEZ,2500,-61.396161,-32.81689
TERZONI,MORENO  302,CAÑADA DE GOMEZ,2500,-61.39617459,-32.81755543
LOVATO,OROÑO 821,CAÑADA DE GOMEZ,2500,-61.3886182,-32.81256693
PALAZZESI,PELLEGRINI 16,CAÑADA DE GOMEZ,2500,-61.39975018,-32.82054297
IADANZA,RIVADAVIA 503,CAÑADA DE GOMEZ,2500,-61.38874546,-32.81885335
GALFRE,SARMIENTO 25,CAÑADA DE GOMEZ,2500,-61.39224625,-32.82172688
BARONIO,URQUIZA 801,CAÑADA DE GOMEZ,2500,-61.39556952,-32.8294994
HOSPITAL PROVINCIAL SAN JOSE,URQUIZA 750,CAÑADA DE GOMEZ,2500,-61.39488486,-32.82962019
ZONA DE SALUD VI,URQUIZA 750,CAÑADA DE GOMEZ,2500,-61.39488486,-32.82962019
BIROCCO,CENTENARIO  561,CARRIZALES (EST. CLARKE),2218,,
CERVETTO,ESPAÑA 860,CLASSON,2146,-61.29204038,-32.463121
MAZZONE,25 DE MAYO 1150,CORREA,2506,-61.25442855,-32.8481907
DON GUILLERMO,25 DE MAYO Y BELGRANO 1026,CORREA,2506,,
VIOLA,RIVADAVIA 1278,CORREA,2506,-61.25531111,-32.84910695
SANTECCHIA,SARMIENTO 1148,CORREA,2506,-61.25358712,-32.84769368
