nombre,domicilio,localidad,cp,longitud,latitud
MUTUAL EMPLEADOS BANCARIOS DE SANTA FE (MEBAFE),SARMIENTO 2307,ESPERANZA,3080,-60.93081038,-31.44691672
SINDICAL ATILRA,ESPERANZA 1984,FRANCK,3009,-60.9372864,-31.58263097
MUTUAL DEL PERSONAL DEL GRUPO MÉDICO LAS COLONIAS,LISANDRO DE LA TORRE 461,EMPALME SAN CARLOS,3007,,
BONETTI,AV.LIBERTAD 2151,HUMBOLDT,3081,-61.0836015,-31.40070036
KINEN,25 DE MAYO 1945,HUMBOLDT,3081,-61.08294893,-31.39476161
MARIN,ALDO BUSTOS 2138,HUMBOLDT,3081,-61.08417807,-31.40238099
SIGRIST,AVDA.BECK-HERZOG 1518,HUMBOLDT,3081,,
WEDER,M. MORENO 2143,HUMBOLDT,3081,,
TESOLIN,SAN MARTIN S N,LA PELADA,3027,-60.97547224,-30.86437248
DRIUSSI,ESTANISLAO LOPEZ 412,ELISA,3029,,
CARGNELLO,MALVINAS ARGENTINAS S,MARIA LUISA,3025,,
KARLEN,SAN MARTIN 1450,PILAR,3085,-61.25903114,-31.4381302
POLONI,LEHMANN 1255,PILAR,3085,-61.2604901,-31.44080923
VALENTINI,LOS COLONIZADORES 1264,PILAR,3085,-61.25892248,-31.44101684
MILESI,BV. SAN FRANCISCO 237,ELISA,3029,-61.04849305,-30.69663308
ALTHAUS,SARMIENTO 2780,ESPERANZA,3080,-60.92958919,-31.44284364
FARMACIA BARRIOS,SIMON DE IRIONDO 3043,ESPERANZA,3080,-60.9279347,-31.4408812
BORGOGNO,LEHMANN 2307,ESPERANZA,3080,-60.93825007,-31.44896889
CLAUDIA SCHNEIDER,AV.LOS COLONIZADORES 957,ESPERANZA,3080,-60.9246777,-31.45030054
FAVARIN,SARMIENTO 1302,ESPERANZA,3080,-60.93341099,-31.45545086
CALIANI,MANUEL BELGRANO NRO. 2,PROGRESO,3023,,
GAZANO,9 DE JULIO 1259,SARMIENTO,3023,-61.16877388,-31.05823012
VAN STRATE,JOSE LAMY 1360,SARMIENTO,3023,-61.1658943,-31.05825714
FORTI,GUEMES 595,ESPERANZA,3080,-60.92177373,-31.45540263
FUENTES,MORENO 742,ESPERANZA,3080,-60.93578752,-31.45990822
GAMBOA,BELGRANO 2324,ESPERANZA,3080,-60.92877785,-31.44720893
HILAS,HNO LINO TERFORD 2957,ESPERANZA,3080,,
LIMACHE,AV.CORDOBA 1624,ESPERANZA,3080,-60.93161311,-31.4487149
LONGONI,SAAVEDRA 1806,ESPERANZA,3080,-60.93664159,-31.45018371
MORELLI,Rivadavia 2002,ESPERANZA,3080,-60.92852622,-31.45019276
PERIN,CORDOBA Y LAVALLE,ESPERANZA,3080,-60.93410262,-31.4480542
PIERUCCIONI,BALCARCE 1605,ESPERANZA,3080,-60.93422141,-31.45796234
SAD,SARMIENTO 2041,ESPERANZA,3080,-60.93151873,-31.44921539
SAUGY,AV.LOS COLONIZADORES 9,ESPERANZA,3080,-60.91206927,-31.45339159
FARMACIA SCHNEIDER SERGIO,Avenida Córdoba 2251,ESPERANZA,3080,-60.9372001,-31.447283
TKACZYK,1  DE MAYO 2006,ESPERANZA,3080,-60.92315353,-31.45136532
ZEHNDER,CULLEN 1332,ESPERANZA,3080,-60.92973651,-31.45268528
ZUQUELI,AUFRANC 1447,ESPERANZA,3080,-60.92803913,-31.44302766
CORRENTI,E. SENN 374,FELICIA,3087,-61.21147558,-31.24353603
FELICIA,PEDRO PALACIOS 584,FELICIA,3087,,
GRAZIOLI,MENDOZA 1145,SAN JERONIMO NORTE,3011,-61.07121746,-31.54701702
JULLIER,SAN MARTIN 476,SAN JERONIMO NORTE,3011,-61.07752845,-31.55369385
