nombre,domicilio,localidad,cp,longitud,latitud
ASOCIACIÓN MUTUAL DE AFILIADOS A LA CAJA DE INGENIERÍA (A.M.A.C.I.),ZONA URBANA 1,SANTA FE,3000,,
MUTUAL ASOCIACIÓN MUTUALISTA DE EMPLEADOS PÚBLICOS,SAN JERÓNIMO 2833,SANTA FE,3000,-60.70693169,-31.64270967
MUTUAL AMUR,25 DE MAYO 2091,SANTA FE,3000,-60.70690154,-31.65174721
ASOCIACIÓN MUTUAL UNIÓN SOLIDARIA -A.M.U.S.-,RIVADAVIA 3076,SANTA FE,3000,-60.70255175,-31.64081428
SINDICAL ASOCIACIÓN DEL PERSONAL NO DOCENTE DE LA UNIVERSIDAD NACIONAL DEL LITORAL,1º DE MAYO 3164,SANTA FE,3000,,
MUTUAL DE EMPLEADOS BANCARIOS DE SANTA FE (ME.BA.FE),TUCUMAN 2653,SANTA FE,3000,-60.70740596,-31.64661819
CENTRO UNIÓN EMPLEADOS DE COMERCIO,SAN MARTÍN 2865,SANTA FE,3000,-60.70539429,-31.64259364
SINDICAL LUZ Y FUERZA,9 DE JULIO 2682,SANTA FE,3000,-60.708489,-31.644214
MUTUAL 12 DE MAYO,TUCUMAN 3189,SANTA FE,3000,-60.71416791,-31.64494412
MUTUAL JERÁRQUICOS SALUD,AVDA. FACUNDO ZUVIRÍA 4536,SANTA FE,3000,,
MUTUAL DE INTEGRANTES DEL PODER JUDICIAL,SAN MARTÍN 1732,SANTA FE,3000,-60.7092317,-31.65547208
OBRA SOCIAL O.S.P.L.A.D.,SALTA 2960,SANTA FE,3000,-60.71224977,-31.64931219
ASOCIACIÓN MUTUAL SANTO TOMÁS DE AQUINO,MORENO 1898,SANTO TOME,3016,-60.7657142,-31.66378397
SINDICAL DE LA ASOCIACIÓN SANTO TOMÉ EMPLEADOS Y OBREROS MUNICIPALES (A.S.T.E.O.M.),RIVADAVIA 2070,SANTO TOME,3016,-60.76406338,-31.66622355
MUTUAL VERDE,BELGRANO 2121,SANTO TOME,3016,-60.76100041,-31.66712865
BERTOLIN,URQUIZA 1067,SANTA FE,3000,-60.7179726,-31.6616541
CAMUSSO,4 DE ENERO 1594,SANTA FE,3000,-60.714852,-31.656291
CUELLO,SARMIENTO 1103,LAGUNA PAIVA,3020,-60.65920865,-31.30423936
DIAZ,CARLOS PELLEGRINI 2490,LAGUNA PAIVA,3020,,
PIERINI,MAIPU 2303,LAGUNA PAIVA,3020,-60.66058226,-31.30659843
VELTRI,AV. SAN MARTIN 1298,LAGUNA PAIVA,3020,-60.66185718,-31.30791659
ZUAZQUITA,SAN MARTIN 1129,LAGUNA PAIVA,3020,-60.65974627,-31.30802091
CAPRA,4 DE ENERO 1301,SANTA FE,3000,-60.71594,-31.65923
BARCAROLO,GRAL PAZ 174 - LOCAL 1,LLAMBI CAMPBELL,3036,,
MAITRE,DR. TAGLIARI 459,LLAMBI CAMPBELL,3036,-60.74742631,-31.18531559
SANTA TERESITA,SAN MARTIN Y MITRE 305,LLAMBI CAMPBELL,3036,,
BELGRANO,RIVADAVIA 3237,SANTA FE,3000,-60.7022265,-31.6390017
BUIGUEZ,J. BALDACCINI 6116,MONTE VERA,3014,,
MONTIBELLI,SAN MARTIN 5835,MONTE VERA,3014,-60.68124754,-31.51753882
TURIELLA,SANTA FE 1144,MONTE VERA,3014,,
GROPPO,SAN MARTIN 161,NELSON,3032,-60.75990269,-31.26612372
FARMACIA SCOTTA,25 DE MAYO 993,NELSON,3032,-60.708696,-31.6582526
ACOSTA,SUIPACHA 2506,SANTA FE,3000,-60.70402533,-31.64015389
ALEJANDRO SENN,4 DE ENERO 2599,SANTA FE,3000,-60.71124852,-31.64447878
