nombre,domicilio,localidad,cp,longitud,latitud
ROVAI,SAN LUIS 2101,ROSARIO,2000,-60.652946,-32.946526
FERRAN,DOMINGO FAUSTINO SARMIENTO 3098,ROSARIO,2000,-60.644892,-32.973194
PETRUZZI,Av PELLEGRINI 3770,ROSARIO,2000,-60.677472,-32.950667
RODRIGO,JUAN JOSE PASO 5880,ROSARIO,2000,-60.703994,-32.91998
AZAR,Av Pte PERON,ROSARIO,2000,-60.71336746,-32.96863543
ARCO IRIS,27 DE FEBRERO 5302,ROSARIO,2000,-60.695347,-32.958698
LUCARELLI,Juan Jose Paso 7800,ROSARIO,2000,-60.730022,-32.92079
COLLOMB,Cordoba 4313,ROSARIO,2000,-60.682064,-32.938512
HERNANDEZ - CASSINI,MENDOZA 4298,ROSARIO,2000,-60.682987,-32.943735
LASCURAIN,SAN JOSE 1519,FUNES,2132,-60.809737,-32.920646
R. HERNANDEZ,Avda PELLEGRINI 3456,ROSARIO,2000,-60.673181,-32.951424
DESMEDT,Nicaragua (B) 671,ROSARIO,2000,-60.72086,-32.935685
ZUCCO,J.J. PASO 2364,ROSARIO,2000,-60.69378,-32.91971
FRONTONS,JUAN JOSE PASO 6045,ROSARIO,2000,-60.706311,-32.920034
CIUCCI,Av. PROVINCIAS UNIDAS 3181,ROSARIO,2000,-60.711697,-32.965395
BIRCHER,Av GENOVA 2363,ROSARIO,2000,-60.69684505,-32.91547662
CALACE,Av GENOVA 3229,ROSARIO,2000,-60.696956,-32.915513
HERBAS,MENDOZA 4588,ROSARIO,2000,-60.687085,-32.943032
BERTOLOTTI,INDEPENDENCIA 1911,FUNES,2132,-60.80932617,-32.91187392
RENZ,CORDOBA 1392,FUNES,2132,-60.80840764,-32.92198021
BARCHI,SANTA FE 1483,ROSARIO,2000,-60.64309359,-32.94407686
MOROSINI,JUNIN 1996,ROSARIO,2000,-60.689832,-32.926914
GHIONE,Tomas Craig 195,ROSARIO,2000,,
BONACCI,CASTRO BARROS 5202,ROSARIO,2000,-60.629579,-32.997092
FELCARO,CAFFERATA 835,ROSARIO,2000,-60.671207,-32.94089
VUKSICH,AZURMENDI 654,ACEBAL,2109,-60.833759,-33.241272
INCHAURZA,ALEM 1914,ROSARIO,2000,-60.631617,-32.961506
FARMACIA MUTUAL FEDERADA  25 DE JUNIO,MORENO 1143,ROSARIO,2000,-60.651702,-32.948525
GALENICA,ESPAÑA 2198,ROSARIO,2000,-60.650607,-32.961218
LELLI,SALVAT 1562,ROSARIO,2000,-60.704359,-32.882506
CALVIN,JUNIN 1794,ROSARIO,2000,-60.687429,-32.926914
LUCARINI,MACIEL 881,ROSARIO,2000,-60.691999,-32.904254
ORLANDI,SAN MARTIN 3110,ROSARIO,2000,-60.643483,-32.973712
PUCCINI,Av FILIPPINI 1631,VILLA GOBERNADOR GALVEZ,2124,-60.636767,-33.020683
VILLAGGI,Bv OROÑO 1215,ROSARIO,2000,-60.654792,-32.948957
ASTRAL,J. MANUEL DE ROSAS 1301,ROSARIO,2000,-60.63285828,-32.95372825
JUAN,JUNIN 5648,ROSARIO,2000,-60.70101,-32.927283
PLACENTI,SAN JUAN 3501,ROSARIO,2000,-60.672323,-32.944167
ARIAS,TUCUMAN 917,ALVAREZ,2107,-60.80663,-33.129214
LUMANI,SAN LUIS 2922,ROSARIO,2000,-60.663975,-32.944473
LAGRECA,3 DE FEBRERO 2698,ROSARIO,2000,-60.661594,-32.948795
PERDOMO,SAN LUIS 2566,ROSARIO,2000,-60.659083,-32.945355
GAMULIN,RODRIGUEZ 714,ROSARIO,2000,-60.65859,-32.941556
RODRIGUEZ SILVIA GUADALUPE,SAN LUIS 4570,ROSARIO,2000,-60.686291,-32.940547
MENDOZA,AV. 27 DE FEBRERO 3946,ROSARIO,2000,-60.682386,-32.96057
BELLA VISTA,RIOBAMBA 3696,ROSARIO,2000,-60.67800522,-32.95660906
ALESSO,SARMIENTO 1296,ROSARIO,2000,-60.639707,-32.952612
CASCIANI,ISLAS MALVINAS 195,ARROYO SECO,2128,-60.513089,-33.161697
CHOIHETTE,SAN MARTIN 4842,ROSARIO,2000,-60.64726,-32.993061
BONDIEU,SAN MARTIN 621,ARROYO SECO,2128,-60.513175,-33.161589
CUBELLS,EVA PERON 8166,ROSARIO,2000,-60.738133,-32.928553
LO MORO,SAN LORENZO 1888,ROSARIO,2000,-60.648526,-32.942132
GRASSI,SARMIENTO 641,ARROYO SECO,2128,-60.513217,-33.161625
VIA CORDOBA,CORDOBA 5753 PB,ROSARIO,2000,-60.70202,-32.934983
BIZZOTTO,COLON 1301,ROSARIO,2000,-60.627215,-32.954905
LORENZINI,NECOCHEA 1687,ROSARIO,2000,-60.626854,-32.959562
FARMACIA YASPARRA,MONTEVIDEO 1364,ROSARIO,2000,-60.644234,-32.955403
OTTOLINI,MENDOZA 5151,ROSARIO,2000,-60.694059,-32.941808
PERINETTI,H. Irigoyen 1078,ROSARIO,2000,-60.69908,-32.884453
BOGGIONE,BALCARCE816,ROSARIO,2000,-60.652131,-32.944149
IRIONDO,3 DE FEBRERO 3401,ROSARIO,2000,-60.671614,-32.946994
GERVATTI,Bv AVELLANEDA 967 BIS,ROSARIO,2000,-60.677936,-32.934469
MICA,CALLAO 301,ROSARIO,2000,-60.658783,-32.936784
SAAVEDRA,PARAGUAY 3502,ROSARIO,2000,-60.651637,-32.976952
RAGAZZO,CONSTITUCION 940,ROSARIO,2000,-60.674168,-32.94143
BERDINI,9 DE JULIO 845,ARROYO SECO,2128,-60.51200867,-33.15796025
LA FLORIDA,Bv. Rondeau 3302,ROSARIO,2000,-60.695306,-32.884628
AGRELO,AGRELO 2364,ROSARIO,2000,-60.692257,-32.890669
ANTONELLI,WILDE 508,ROSARIO,2000,-60.738691,-32.934334
