nombre,domicilio,localidad,cp,longitud,latitud
GALLIANO,E. LOPEZ 202,VILLA TRINIDAD,2345,-61.87529102,-30.21080929
VIZGARRA,SARMIENTO 498,VILLA TRINIDAD,2345,-61.87710521,-30.21406561
MUTUAL ASOCIACIÓN MUTUAL INTERSINDICAL CERES (A.M.I.C.),AV PTE. PERÓN 336,CERES,2340,,
MUTUAL DE INTEGRANTES DEL PODER JUDICIAL,CASEROS 1119,SAN CRISTOBAL,3070,-61.23362533,-30.31058887
MUTUAL SAN GUILLERMO,MARIANO MORENO 103,SAN GUILLERMO,2347,,
NAVARRO,RIVADAVIA 236,MOISES VILLE,2313,-61.4712015,-30.71447958
ROTEMBERG,25 DE MAYO 136,MOISES VILLE,2313,-61.46925914,-30.71521552
SALUZZO,1RO. DE MAYO 150,SOLEDAD,2347,,
CARIGNANO,SAN MARTIN 693,SUARDI,2349,-61.95689247,-30.53521003
CAVALLO,CLEMENTE ZAVALETA 265,SUARDI,2349,-61.96251765,-30.53238796
FLORES,9 DE JULIO 483,SUARDI,2349,-61.96195867,-30.53530022
GERLERO,J. BARGELLINI 592,SUARDI,2349,,
NARI,9 DE JULIO 635,SUARDI,2349,-61.96236417,-30.53695888
PIEMONTESA,BV.SAN MARTIN 254,SUARDI,2349,-61.96227548,-30.53424797
JARA,JUAN JOSE MICHLIG 317,AMBROSETTI,2352,-61.57724498,-30.01325679
ARRIETA,SOLDADOS ARGENTINOS 231,ARRUFO,2344,-61.72860098,-30.23436213
OROZCO,ENRIQUE CRIPPA 551,ARRUFO,2344,-61.73014129,-30.23201526
BOSCO,BV. SAN MARTIN 1389,SAN CRISTOBAL,3070,-61.23053491,-30.30803042
DIPIAZZA,ALVEAR 949,SAN CRISTOBAL,3070,-61.23764395,-30.31007486
GAITAN,ALVEAR 619,SAN CRISTOBAL,3070,-61.23261769,-30.31100673
LEMOS,CASEROS 1441,SAN CRISTOBAL,3070,-61.23271696,-30.30689454
PESQUEDUA,PTE J.D PERON 1191,SAN CRISTOBAL,3070,,
PIERANTONI,CASEROS 1298,SAN CRISTOBAL,3070,-61.23312072,-30.30852562
FARMACIA ALBERTINAZZI,AVDA DE MAYO 267,CERES,2340,-61.9436491,-29.8798468
BARRIOS,GDOR. ALDAO 102,CERES,2340,-61.94337265,-29.88137888
CERUTTI,C. PELLEGRINI 498,CERES,2340,,
COMETTO,AV. 25 DE MAYO 325,CERES,2340,,
FRANK,DELFOR DEL VALLE 345,CERES,2340,-61.94049106,-29.88271865
GIOVANNINI,AV. VICENTE CASARES 345,CERES,2340,-61.94343692,-29.88481098
HILBE,AV. FALUCHO 19,CERES,2340,-61.95234715,-29.88576387
MILANESIO,AV. ITALIA 158,CERES,2340,-61.94870612,-29.88344143
ALANIZ,SAN MARTIN 270,HERSILIA,2352,-61.83803489,-30.00537876
CHIAPERO,CAYETANO ZIBECHI 310,HERSILIA,2352,,
CORIA,SARMIENTO 236,HERSILIA,2352,-61.83730557,-30.00314026
SILVA,AVDA.MAYO 523,CERES,2340,,
VEGA,AVDA. ITALIA 301,CERES,2340,,
VERNETTI,AV. MITRE 317,CERES,2340,-61.94698429,-29.88799815
SCHMIDT,CASEROS 1741,SAN CRISTOBAL,3070,-61.23185939,-30.30346617
BENELLI,AV.SAN MARTIN 456,SAN GUILLERMO,2347,-61.91605923,-30.35916139
NICOLAU,URQUIZA 198,SAN GUILLERMO,2347,-61.91863803,-30.36101832
PALOMEQUE-ODETTI,25 DE MAYO 63,SAN GUILLERMO,2347,-61.92086516,-30.35901581
WILLINER,SARMIENTO 698,SAN GUILLERMO,2347,-61.9134463,-30.36195567
