nombre,domicilio,localidad,cp,longitud,latitud
MUTUAL -ARGUS SALUD,BARTOLOMÉ MITRE 357,GALVEZ,2252,,
MUTUAL DE AYUDA ENTRE ASOCIADOS Y ADHERENTES DEL CLUB ATLÉTICO SAN GENARO,UDINO GALETTO ESQ. LAVALLE,SAN GENARO,2146,,
RUBIES,URQUIZA 441,IRIGOYEN,2248,-61.10885031,-32.1588474
BORGHETTI,AVENIDA LOPEZ 1677,LOPEZ,2255,,
VERON,MENDOZA 501,MACIEL,2208,-60.89197866,-32.45616254
ZELAYA,CORDOBA 744,MACIEL,2208,-60.88836585,-32.45682176
LORENZATTI,FCO. B. CAMINOS 691,MONJE,2212,,
SPEZIA,SAN MARTIN 563,MONJE,2212,-60.9420535,-32.3572885
TELLO,CASTELLANO 840,GABOTO,2208,-60.81769255,-32.43354416
CASTINI,JORGE NEWBERY 447,GALVEZ,2252,-61.21525705,-32.03581654
ITALIANA,SAN MARTIN 501,GALVEZ,2252,-61.22159391,-32.03119633
MEYNET,BME. MITRE 1124,GALVEZ,2252,,
PERLO,BELGRANO 948,GALVEZ,2252,-61.21625774,-32.02977482
RAMPONE,BELGRANO 699,GALVEZ,2252,-61.21949165,-32.03151414
SOLTERMANN,AV. MAYO 814,GALVEZ,2252,-61.21950473,-32.0286214
VENICA,BELGRANO 599,GALVEZ,2252,-61.22078776,-32.03229556
CHIAPPO,PRESBITERO DOMINGO NARDI 898,GESSLER,2253,,
MARIONI,SAN MARTIN 1152,GESSLER,2253,-61.12892603,-31.87658512
GAIDO,BV.LEDESMA Y SAN FABIAN,AROCENA,2242,-60.97401997,-32.07765211
DIP,AVDA. PAGANINI 521,BARRANCAS,2246,,
GALLOTTO,BENAVIDEZ 172,BARRANCAS,2246,-60.98260289,-32.23114416
LORENZATTI,Avenida Paganini 1062,BARRANCAS,2246,-60.98036528,-32.23759712
DASCANIO,SARMIENTO 1298,CENTENO,2148,-61.40960703,-32.29791851
SOPRANZETTI,BUENOS AIRES 1254,CENTENO,2148,,
CAMPANINI,A.MARITANO 1341,SAN GENARO,2146,,
MAGRA,MITRE 1471,SAN GENARO,2146,-61.35698595,-32.36917684
QUINTERO,LAVALLE 1959,SAN GENARO,2146,,
ZALLOCCO,AV. ROQUE SAENZ PEÑA 1201,SAN GENARO,2146,-61.3530681,-32.36873581
CASTAGNO,JUAN CHAVARRI 566,SAN GENARO NORTE,2147,,
FLORES,AV. ROQUE SAENZ PEÑA 1532,SAN GENARO NORTE,2147,-61.34629447,-32.36596934
GOMEZ,BELGRANO 801,SAN GENARO NORTE,2147,-61.33798503,-32.36529966
VIVAS,SAN MARTIN 1028,SAN GENARO NORTE,2147,-61.3505713,-32.36795536
ACOSTA,LISANDRO DE LA TORRE Y PTE ROCA,CORONDA,2240,,
CASTAÑO,BELGRANO 2110,CORONDA,2240,-60.92255672,-31.97749684
GAIDO DE BERTERO,25 DE MAYO 1502,CORONDA,2240,-60.92054286,-31.97244
GOBBO,ALBERDI 1907,CORONDA,2240,-60.92094953,-31.97530184
LESCE,SAN MARTIN Y GUEMES,CORONDA,2240,-60.92340989,-31.97314225
LUCIETICH,ALBERDI 1505,CORONDA,2240,-60.92016898,-31.97026024
PALACIOS,ALBERDI 2232,CORONDA,2240,-60.92149845,-31.97890282
SOSA,SARMIENTO 1864,CORONDA,2240,-60.9167934,-31.97467069
