nombre,domicilio,localidad,cp,longitud,latitud
PILATTI,ZONA URBANA,VERA Y PINTADO,3054,,
FILIPPA,INDEPEDENCIA 126,VIDELA,3048,-60.65594064,-30.94309084
MENAPACE,ANTONIO NOSEDA 871,VIDELA,3048,,
PICCO,AV. SAN MARTIN 299,VIDELA,3048,-60.65447242,-30.94484234
DALLIA,2 DE ABRIL 510,LA CRIOLLA,3052,-60.36726923,-30.22479569
DODORICO,SANTA FE 397,LA CRIOLLA,3052,-60.36572955,-30.22426635
STRADA,ESTANISLAO LOPEZ 423,LA CRIOLLA,3052,,
BUSALINO,MAIPU 401,MARCELINO ESCALADA,3042,-60.46704598,-30.57910096
ALMADA,JUAN MANTOVANI 1725,SAN JUSTO,3040,,
ARNAUDO,9 DE JULIO 2303,SAN JUSTO,3040,-60.58953696,-30.78909927
BOLLO,AV. GDOR IRIONDO 2364,SAN JUSTO,3040,,
BOTTO,CABAL 2518,SAN JUSTO,3040,-60.59426881,-30.78984761
D¿ANTONI,SAN MARTIN 2298,SAN JUSTO,3040,-60.58891242,-30.78656643
DEL GIUDICE,BV.PELLEGRINI 2823,SAN JUSTO,3040,-60.59838733,-30.79303672
BOTTA,ESTANISLAO ZEBALLO 201,GOBERNADOR CRESPO,3044,,
GONNET,COMBATE DE SAN LORENZO 325,GOBERNADOR CRESPO,3044,-60.40175892,-30.36204556
TROMBERT,AV. SAN MART N 204,GOBERNADOR CRESPO,3044,-60.40353372,-30.36315356
DERGHON,R.E. DE SAN MARTIN 2303,SAN JUSTO,3040,,
DOMINGORENA,BELGRANO 2387,SAN JUSTO,3040,-60.5909264,-30.78870303
FILIPPA,INDEPENDENCIA 2693,SAN JUSTO,3040,-60.59558435,-30.78939745
LANZO,GOBERNADOR IRIONDO 2531,SAN JUSTO,3040,,
LAZZARONI,NICOLÁS FIGUEREDO 2755,SAN JUSTO,3040,,
MAGLIONI,9 DE JULIO 1728,SAN JUSTO,3040,-60.58192917,-30.79016267
MUSURUANA,URQUIZA 2355,SAN JUSTO,3040,-60.58936951,-30.78855384
PERUSINI,BELGRANO 2331,SAN JUSTO,3040,-60.59076382,-30.78798735
RAGGIO,AV.IRIONDO 2246,SAN JUSTO,3040,-60.59199126,-30.78666893
ZANUTTINI,IRIONDO 3162,SAN JUSTO,3040,,
