nombre,domicilio,localidad,cp,longitud,latitud
GIACUMELLI,RIOJA 1101,ROLDAN,2134,-60.912412,-32.897318
MUTUAL,SARMIENTO 1405,CARCARAÑA,2138,-61.04908,-32.714511
TUMINI,PELLEGRINI 738,ROLDAN,2134,-60.907606,-32.898921
MUTUAL PERSONAL OBREROS SULFACID SA,DORREGO 50,FRAY LUIS BELTRAN,2156,-60.72707078,-32.78344369
CECARELLI,AV SAN MARTIN 1267,FRAY LUIS BELTRAN,2156,-60.72444749,-32.78937623
LORENZO,GRAL LOPEZ 26 PB,FRAY LUIS BELTRAN,2156,-60.723628,-32.819703
GRANADEROS A CABALLO,RICHERI 347,SAN LORENZO,2200,-60.72987,-32.748807
VITALE,GRAL SAVIO 214,FRAY LUIS BELTRAN,2156,-60.730215,-32.783667
GRISOLIA,SAN MARTIN 1118,SAN LORENZO,2200,-60.734185,-32.750377
POPULAR,Bv OROÑO 621,SAN LORENZO,2200,-60.734099,-32.735397
SMYK,J. INGENIERON  1104,SAN LORENZO,2200,-60.739483,-32.73999
NOEL,Sgto CABRAL 1970,SAN LORENZO,2200,-60.730567,-32.742526
LOPEZ,SAN MARTIN 1302,SAN LORENZO,2200,-60.734145,-32.748662
DUTTO,1RA. JUNTA 20,ALDAO,2214,,
MANSILLA,MARIANO MORENO ESQ. MITRE,ALDAO,2214,,
TURRI,RUCCI 845,LUIS PALACIOS,2142,,
PLACCI,9 DE JULIO 257,VILLA MUGUETA,2175,-61.05529383,-33.31152645
RASTELLI,SAN MARTIN 555,VILLA MUGUETA,2175,-61.05727593,-33.31186298
DE GRANDIS,BELGRANO 225,PUERTO GENERAL SAN MARTIN,2202,-60.73510393,-32.71660428
GOBBO,BELGRANO 502,PUERTO GENERAL SAN MARTIN,2202,-60.73450422,-32.71410787
LESZKIEWICZ,BUENOS AIRES  1018,PUERTO GENERAL SAN MARTIN,2202,-60.73642941,-32.71185533
MEROI,CORDOBA 857,PUERTO GENERAL SAN MARTIN,2202,-60.73578879,-32.71669669
SINDICATO DE OBREROS Y EMP. ACEITEROS,CORDOBA 1109,PUERTO GENERAL SAN MARTIN,2202,-60.73850129,-32.71622351
VOLGUEIN,RUTA 11 KM 334 949,PUERTO GENERAL SAN MARTIN,2202,,
BOSIO,SAN MARTIN 622,PUERTO GENERAL SAN MARTIN,2202,-60.73026258,-32.71361509
DEL PUERTO,SAN MARTIN 168,PUERTO GENERAL SAN MARTIN,2202,-60.73119845,-32.71776338
PELOSI,SAN MARTIN 378,PUERTO GENERAL SAN MARTIN,2202,-60.73079167,-32.71587617
MAROZZI,BV. COLON 928,PUJATO,2123,-61.04407063,-33.01589059
FIORI,J. R. RODRIGUEZ 567,PUJATO,2123,,
PENNACCHIONI,J. R. RODRIGUEZ 1199,PUJATO,2123,,
RODRIGUEZ,J. R. RODRIGUEZ 943,PUJATO,2123,,
JANDIRIZ,SAN MARTIN 646,PUJATO,2123,-61.04252468,-33.01863227
WINKER,CAFFERATA 490,RICARDONE,2201,,
CLARI,URBANO IRIONDO 648,RICARDONE,2201,-60.78299721,-32.77100445
TRIONFETTI,ALBERDI 402,ROLDAN,2134,-60.90546263,-32.90386328
TORNABENE,CATAMARCA 788,ROLDAN,2134,-60.90996016,-32.90532385
BUSTAMANTE,GRAL. LOPEZ 753,ROLDAN,2134,,
ALBINOLI,SAN MARTIN 818,ROLDAN,2134,-60.90907942,-32.90024035
CAPDEVILA,URQUIZA 207,ROLDAN,2134,-60.90774371,-32.90163602
A.P.R.E.P.A.,1° DE JUNIO 464,SAN JERONIMO SUD,2136,-61.02381155,-32.88110243
KRENZ,ESTRASBURGO 354,SAN JERONIMO SUD,2136,-61.02308383,-32.88050803
DORREGO,AV. DORREGO 2119,SAN LORENZO,2200,,
POTALIVO,AV. SAN MARTIN 2123,SAN LORENZO,2200,-60.73408665,-32.74115379
TERZAGHI,AV. SAN MARTIN 3071,SAN LORENZO,2200,-60.73341172,-32.73113601
ROMEGIALLI,AVDA. GUREL 689,SAN LORENZO,2200,,
CALZIA,BELGRANO 675,SAN LORENZO,2200,-60.73499938,-32.7467467
MIOR,BV. OROÑO 1223,SAN LORENZO,2200,-60.74008088,-32.73428746
MIRIAM GARCIA,BV. OROÑO 1546,SAN LORENZO,2200,-60.7441531,-32.73355884
ALBANESI,DORREGO 704,SAN LORENZO,2200,-60.73744791,-32.75440047
RIOS,DORREGO 1554,SAN LORENZO,2200,-60.73726499,-32.7461933
SQUILLACE,DORREGO 2411,SAN LORENZO,2200,-60.7368514,-32.73794317
FARMACIA A.M.U.R. ASOC. RURALISTA,Avenida San Martín 1147,SAN LORENZO,2200,-60.7342988,-32.750141
VIVIANA SILVA,ENTRE RIOS 754,SAN LORENZO,2200,-60.73570398,-32.74307207
ALESSANDRINI,GRAL LOPEZ 932,SAN LORENZO,2200,-60.73536935,-32.75203483
CERRETTO,GRAL. LOPEZ 3708,SAN LORENZO,2200,-60.7335846,-32.72493423
SUTKOWSKI,HIPOLITO YRIGOYEN 2698,SAN LORENZO,2200,-60.73599293,-32.73510041
GARCIA ALONSO,L N ALEM 617,SAN LORENZO,2200,,
MASSONI,MISIONES 1085,SAN LORENZO,2200,-60.74079668,-32.75637915
ALI,PASAJE DEL INMIGRANTE 758,SAN LORENZO,2200,,
HOSPITAL GRANADEROS A CABALLO,RICHIERI 347,SAN LORENZO,2200,-60.73449455,-32.75785371
PANACEA,SALTA 690,SAN LORENZO,2200,-60.73510945,-32.74486501
FROSCHAUER,SAN CARLOS 744,SAN LORENZO,2200,-60.73267699,-32.75443665
DOCOLA,SAN MARTIN 3319,SAN LORENZO,2200,-60.73307694,-32.7288323
LUDUEÑA,SAN MARTIN 3882,SAN LORENZO,2200,-60.73225619,-32.7234002
MEROI,SAN MARTIN 1147,SAN LORENZO,2200,-60.73432698,-32.75011898
RUCCI,SAN MARTIN 943,SAN LORENZO,2200,-60.73437115,-32.75198492
S.O.E.P.U.,SAN MARTIN 968,SAN LORENZO,2200,-60.73436923,-32.75175146
SERENELLI,SAN MARTIN 1798,SAN LORENZO,2200,-60.73417279,-32.74402446
ALESSANDRI,SARGENTO CABRAL 1335,SAN LORENZO,2200,-60.73079624,-32.74848006
MARTINEZ,SARGENTO CABRAL 2345,SAN LORENZO,2200,-60.73057612,-32.73951888
ROJAS,SARGENTO CABRAL 552,SAN LORENZO,2200,-60.7316285,-32.75678241
ROQUETTA,SARGENTO CABRAL 884,SAN LORENZO,2200,-60.73087413,-32.7525916
ALZUGARAY,URIBURU 1405,SAN LORENZO,2200,-60.74054402,-32.7474758
FARMACIA RUCCI,9 de Julio 177,CAPITAN BERMUDEZ,2154,-60.7173316,-32.8205323
CEBALLOS,AV SAN LORENZO 229,CAPITAN BERMUDEZ,2154,,
PERLO,AV. EVA PERON 586,CAPITAN BERMUDEZ,2154,,
ALARCON,AV. SAN LORENZO 3147,CAPITAN BERMUDEZ,2154,,
FARMACIA FERNANDEZ,Avenida San Lorenzo 1629,CAPITAN BERMUDEZ,2154,-60.716289,-32.8170211
ROJAS,AV. SAN LORENZO 901,CAPITAN BERMUDEZ,2154,,
ROSARIO,AV. SAN LORENZO 671,CAPITAN BERMUDEZ,2154,,
ZACCO,AV. SAN ROQUE 35,CAPITAN BERMUDEZ,2154,,
ROSSINI,C. COLON 13,CAPITAN BERMUDEZ,2154,,
CINALLI,CELEDONIO ESCALADA 50,CAPITAN BERMUDEZ,2154,,
GIALLEONARDO,COLON 799,CAPITAN BERMUDEZ,2154,,
FARMACIA GONZALEZ,Colón 1312,CAPITAN BERMUDEZ,2154,,
GAIA,JUJUY 573,CAPITAN BERMUDEZ,2154,,
VILLAREAL,JUJUY 31,CAPITAN BERMUDEZ,2154,,
RICCA,PTE. PERON 99,CAPITAN BERMUDEZ,2154,,
YUS,SALTA 60,CAPITAN BERMUDEZ,2154,,
SAN MARTIN,1° DE MAYO 443,CARCARAÑA,2138,,
CUSUMANO,AV. LA PLATA 1660,CARCARAÑA,2138,,
PIKHART,AVDA. LA PLATA 654,CARCARAÑA,2138,,
GASSMANN,BELGRANO 1032,CARCARAÑA,2138,-61.15567577,-32.85618725
LA CUMBRE,BELGRANO 1433,CARCARAÑA,2138,-61.14986001,-32.85725328
PITTERI,EVA PERON 536,CARCARAÑA,2138,-61.15898217,-32.85612642
NARDI,SAN MARTIN 726,CARCARAÑA,2138,-61.15942302,-32.85384369
BERASAIN,SARMIENTO 1055,CARCARAÑA,2138,-61.15569346,-32.85757209
SOC. ITALIANA DE S. M .,SARMIENTO 1405/23,CARCARAÑA,2138,-61.15063832,-32.85845687
ROSSETTI,AV. LAS COLONIAS 146,CORONEL ARNOLD,2123,,
ORTIZ,ARTURO ILLIA 21,FRAY LUIS BELTRAN,2156,,
RIVERO,AV. SAN MARTIN 1267,FRAY LUIS BELTRAN,2156,-60.72444749,-32.78937623
PONCE,AV. SAN MARTIN 2035,FRAY LUIS BELTRAN,2156,-60.72650765,-32.78235943
MUTUAL SULFACID,DORREGO 50,FRAY LUIS BELTRAN,2156,-60.72707078,-32.78344369
VITALE,GRAL. SAVIO 214,FRAY LUIS BELTRAN,2156,-60.73045648,-32.78370056
MUGICA,LAS HERAS 73,FRAY LUIS BELTRAN,2156,-60.7217892,-32.80059378
CIACCIO,INDEPENDENCIA 398,FUENTES,2123,-61.07444725,-33.17333385
BLANCATO,RECONQUISTA 445,FUENTES,2123,-61.0777121,-33.17454903
BUCCI,SIMON DE IRIONDO 406,FUENTES,2123,-61.07330054,-33.17260098
