nombre,domicilio,localidad,cp,longitud,latitud
REINALDI,Av 18 Nº 756,LAS PETACAS,2451,-62.107701,-31.820033
MUTUAL DE AYUDA  ENTRE ASOCIADOS Y ADHERENTES DEL CLUB RECREATIVO LAS PETACAS,CALLE 11 488,LAS PETACAS,2451,-62.10907658,-31.82208778
MUTUAL DE AYUDA ENTRE ASOCIADOS Y ADHERENTES DEL CLUB ATLÉTICO SUSANENSE,RIVADAVIA 852,MARIA SUSANA,2527,-61.90153724,-32.26457038
ASOCIACIÓN DE OBRAS SOCIALES DE SAN JORGE,EVA PERÓN 1301,SAN JORGE,2451,-61.85732676,-31.8955633
MARY,LISANDRO DE LA TORRE 864,LANDETA,2531,-62.06195305,-32.01361055
PEARSON,MORENO 93,LANDETA,2531,-62.06020657,-32.01251723
OLMOS,CALLE 14 NRO. 341,LAS PETACAS,2451,-62.10824589,-31.82340487
POET,SAN LORENZO 761,EL TREBOL,2535,-61.70391612,-32.20282756
RACCA,SANTA FE 598,EL TREBOL,2535,-61.70517349,-32.2021585
INVERNIZZI,ITALIA 380,LOS CARDOS,2533,-61.10077331,-31.72397122
TRIVISONNO,SANTA FE 882,EL TREBOL,2535,-61.70141494,-32.20280108
VENTURI,AV. LIBERTAD 9,EL TREBOL,2535,,
COSATTO,RIVADAVIA 897,MARIA SUSANA,2527,-61.90128589,-32.26501713
GUARDATTI,AV. CENTENARIO 916,MARIA SUSANA,2527,,
ORTIZ,RIVADAVIA 1011,MARIA SUSANA,2527,-61.90066747,-32.26611476
TERNAVASIO,AV. PABLO RECAGNO 597,MARIA SUSANA,2527,,
GAZZERA,AVDA. JUAN BUSTINZA 1456,PIAMONTE,2529,,
SAGLIONE,AV. JULIAN BUSTINZA 1201,PIAMONTE,2529,,
SAN ANTONIO,URQUIZA 1301,PIAMONTE,2529,-61.98149803,-32.14095057
BOSSIO,N. ORONO 1591,SASTRE,2440,,
IOVALDI,SAN MARTIN 1901,SASTRE,2440,-61.83001709,-31.76734524
NOVASIO,AV.GRAL. LOPEZ 1675,SASTRE,2440,-61.82754525,-31.76775938
OLIVERO,AV. SAN MARTIN 2093,SASTRE,2440,-61.83208645,-31.76698764
ROGGIO,ITALIA 2091,SASTRE,2440,-61.832705,-31.76971445
SEVESO,J.A ROCA 1786,SASTRE,2440,,
ACTIS ALESINA,URQUIZA 1473,SAN JORGE,2451,-61.85587211,-31.89417982
ANGELINETTA,ALBERDI 1121,SAN JORGE,2451,-61.85566402,-31.89684449
BRACCO,25 DE MAYO 1632,SAN JORGE,2451,-61.85338863,-31.89312988
CALAMARI,AV. ALBERDI 614,SAN JORGE,2451,-61.85088121,-31.89766687
DEGRATTI,LISANDRO DE LA TORRE 1318,SAN JORGE,2451,-61.85917032,-31.90237695
DENTEZANO,AV. JORGE ORTIZ 2097,SAN JORGE,2451,-61.86622918,-31.89514417
PISSINIS,Boulevard Presidente Perón 619,SAN JORGE,2451,-61.84968799,-31.89323582
POGNANTE,SAN MARTIN 969,SAN JORGE,2451,-61.86021665,-31.89824329
SANTO,CORRIENTES 1744,SAN JORGE,2451,-61.86347985,-31.90023226
SARA,CATAMARCA 1606,SAN JORGE,2451,-61.86021825,-31.89317618
VICCO,HIPOLITO IRIGOYEN 1351,SAN JORGE,2451,-61.85829834,-31.89736858
BANCHIO,DR.D ALFONSO 1174,SAN MARTIN DE LAS ESCOBAS,2449,,
RIBETTI,D ALFONSO 1005,SAN MARTIN DE LAS ESCOBAS,2449,,
BIOLATTO,URQUIZA 626,CAÑADA ROSQUIN,2454,-61.60217268,-32.05167987
BONINO,SARMIENTO 363,CAÑADA ROSQUIN,2454,-61.59845851,-32.05102164
GALETTO,SAN MARTIN 626,CAÑADA ROSQUIN,2454,-61.6006681,-32.0536564
MARIELA GALETTO,BELGRANO 478,CAÑADA ROSQUIN,2454,-61.59890491,-32.05297912
NOVAIRA,SANTA FE 680,CAÑADA ROSQUIN,2454,-61.60051057,-32.05496414
COSATTO,NICOLAS LEVALLE 901,CARLOS PELLEGRINI,2453,,
ELIAS,MONTES DE OCA S N LOTE 2 M21,CARLOS PELLEGRINI,2453,,
PAGANI,BME.MITRE 998,CARLOS PELLEGRINI,2453,,
ROVERE,SAN MARTIN 836,CARLOS PELLEGRINI,2453,-61.78390085,-32.04868167
SCARAFIOCCA,RIVADAVIA 644,CARLOS PELLEGRINI,2453,-61.78565161,-32.05166521
JACKIER,RIVADAVIA 784,COLONIA BELGRANO,2257,-61.39965623,-31.90896063
CARLE,BV. AMERICA 1043,EL TREBOL,2535,-61.70042635,-32.19960801
CAVALLERO,DORREGO 502,EL TREBOL,2535,-61.70541727,-32.19086161
CRAVERO,BRUSELAS 765,EL TREBOL,2535,-61.70922212,-32.19757255
MONASTEROLO,BV. VICTORIA 262,EL TREBOL,2535,,
MORELLI,ITALIA 854,EL TREBOL,2535,-61.70141802,-32.20135661
PECCI,BV.AMERICA 573,EL TREBOL,2535,-61.7017249,-32.20545103
