nombre,domicilio,localidad,cp,longitud,latitud
ALESSO,AVENIDA LEZAMA 1978,VERA,3550,,
APUT,SAN MARTIN 2019,VERA,3550,-60.21086717,-29.46121449
BERLI,COLON 1758,VERA,3550,-60.21079687,-29.45703147
CACERES,CORRIENTES 1201,VERA,3550,-60.67878132,-31.51008717
CHAMORRO,SAN MARTIN 1509,VERA,3550,-60.21190681,-29.46664026
MARANGONI,BELGRANO 1620,VERA,3550,-60.21291279,-29.46526372
MONDINO,BUENOS AIRES 2085,VERA,3550,-60.2160594,-29.46283541
RAMSEYER,LISANDRO DE LA TORRE 1957,VERA,3550,,
RIVOIRE,MORENO 2041,VERA,3550,-60.21327029,-29.46060805
RODRIGUEZ,BELGRANO 2202,VERA,3550,-60.21171595,-29.4590808
SELECT CATTANEO,SAN MARTIN Y BUENOS AIRES,VERA,3550,-60.68129638,-31.51768274
JUNCOS GOMES,GRAL. LOPEZ Y BELGRANO,MARGARITA,3056,,
ULRICH,COLON 2101,MARGARITA,3056,-60.25190949,-29.68933431
WOZNIAK,SAN MARTÍN 1804,MARGARITA,3056,-60.25344058,-29.69239537
CARGNELUTTI,PUEYRREDON 901,CALCHAQUI,3050,-60.28567083,-29.88465429
CARRARA,BELGRANO 39,CALCHAQUI,3050,-60.27936007,-29.88887025
PERELLO,PUEYRREDON 1399,CALCHAQUI,3050,-60.28667815,-29.89007646
RIOS,SANTA FE 100,CALCHAQUI,3050,-60.28177289,-29.89076361
TRAVESANI,RIVADAVIA 201,CALCHAQUI,3050,-60.28280673,-29.88952375
